date	temperature (daily mean) in Hamburg
2009-07-30	17.8
2009-07-31	15.8
2009-08-01	18.9
2009-08-02	20.5
2009-08-03	17.7
2009-08-04	16.9
2009-08-05	19.2
2009-08-06	20.9
2009-08-07	23.2
2009-08-08	22.3
2009-08-09	20.4
2009-08-10	18.6
2009-08-11	17.6
2009-08-12	17.4
2009-08-13	16.7
2009-08-14	15.7
2009-08-15	20.6
2009-08-16	19.8
2009-08-17	17.5
2009-08-18	16.6
2009-08-19	20.3
2009-08-20	25.1
2009-08-21	19.1
2009-08-22	16.3
2009-08-23	17.4
2009-08-24	19.7
2009-08-25	19.6
2009-08-26	18.3
2009-08-27	20.6
2009-08-28	17.4
2009-08-29	13.1
2009-08-30	13.5
2009-08-31	17.7
2009-09-01	19.9
2009-09-02	16.8
2009-09-03	15.7
2009-09-04	14.9
2009-09-05	14.7
2009-09-06	14.7
2009-09-07	16.3
2009-09-08	19.2
2009-09-09	19.2
2009-09-10	15.5
2009-09-11	13.9
2009-09-12	13.6
2009-09-13	14.8
2009-09-14	14.9
2009-09-15	16.0
2009-09-16	15.4
2009-09-17	11.7
2009-09-18	12.8
2009-09-19	15.4
2009-09-20	16.7
2009-09-21	13.0
2009-09-22	15.2
2009-09-23	15.8
2009-09-24	14.0
2009-09-25	13.4
2009-09-26	13.6
2009-09-27	13.1
2009-09-28	14.6
2009-09-29	12.8
2009-09-30	10.1
2009-10-01	11.4
2009-10-02	8.5
2009-10-03	11.9
2009-10-04	10.9
2009-10-05	10.0
2009-10-06	12.6
2009-10-07	14.7
2009-10-08	10.9
2009-10-09	7.9
2009-10-10	7.1
2009-10-11	9.6
2009-10-12	8.3
2009-10-13	5.0
2009-10-14	4.1
2009-10-15	4.0
2009-10-16	6.3
2009-10-17	6.1
2009-10-18	4.4
2009-10-19	6.7
2009-10-20	5.7
2009-10-21	6.0
2009-10-22	6.6
2009-10-23	6.9
2009-10-24	8.0
2009-10-25	12.3
2009-10-26	12.0
2009-10-27	10.7
2009-10-28	10.6
2009-10-29	9.8
2009-10-30	6.6
2009-10-31	3.9
2009-11-01	5.1
2009-11-02	8.1
2009-11-03	8.1
2009-11-04	4.0
2009-11-05	7.2
2009-11-06	9.1
2009-11-07	7.7
2009-11-08	6.1
2009-11-09	6.7
2009-11-10	5.8
2009-11-11	6.3
2009-11-12	7.2
2009-11-13	9.7
2009-11-14	12.3
2009-11-15	10.9
2009-11-16	9.6
2009-11-17	10.2
2009-11-18	9.4
2009-11-19	11.1
2009-11-20	12.3
2009-11-21	11.0
2009-11-22	11.3
2009-11-23	9.5
2009-11-24	10.3
2009-11-25	11.8
2009-11-26	9.0
2009-11-27	6.9
2009-11-28	7.3
2009-11-29	8.8
2009-11-30	6.2
2009-12-01	1.5
2009-12-02	-0.6
2009-12-03	4.7
2009-12-04	5.0
2009-12-05	3.6
2009-12-06	7.3
2009-12-07	6.3
2009-12-08	4.2
2009-12-09	5.7
2009-12-10	5.3
2009-12-11	5.0
2009-12-12	2.7
2009-12-13	0.4
2009-12-14	-0.6
2009-12-15	-0.4
2009-12-16	-2.4
2009-12-17	-2.3
2009-12-18	-4.7
2009-12-19	-8.6
2009-12-20	-8.7
2009-12-21	-2.0
2009-12-22	-0.6
2009-12-23	0.0
2009-12-24	-1.3
2009-12-25	1.5
2009-12-26	4.2
2009-12-27	4.0
2009-12-28	3.0
2009-12-29	-2.1
2009-12-30	-1.0
2009-12-31	0.7
2010-01-01	-1.2
2010-01-02	-3.5
2010-01-03	-3.7
2010-01-04	-4.5
2010-01-05	-2.0
2010-01-06	-5.7
2010-01-07	-6.1
2010-01-08	-3.6
2010-01-09	-0.6
2010-01-10	1.1
2010-01-11	-0.3
2010-01-12	-2.7
2010-01-13	-2.2
2010-01-14	-1.0
2010-01-15	-2.1
2010-01-16	-1.2
2010-01-17	-1.9
2010-01-18	-0.4
2010-01-19	0.9
2010-01-20	-0.8
2010-01-21	-6.1
2010-01-22	-5.7
2010-01-23	-7.8
2010-01-24	-9.2
2010-01-25	-8.5
2010-01-26	-10.5
2010-01-27	-4.9
2010-01-28	1.8
2010-01-29	0.1
2010-01-30	-4.1
2010-01-31	-0.3
2010-02-01	-0.6
2010-02-02	-1.3
2010-02-03	1.0
2010-02-04	0.6
2010-02-05	1.8
2010-02-06	-0.9
2010-02-07	-6.1
2010-02-08	-5.1
2010-02-09	-4.2
2010-02-10	-3.4
2010-02-11	-2.5
2010-02-12	-3.1
2010-02-13	-2.6
2010-02-14	-3.1
2010-02-15	-5.1
2010-02-16	-2.4
2010-02-17	-2.9
2010-02-18	0.4
2010-02-19	3.1
2010-02-20	1.5
2010-02-21	-0.1
2010-02-22	2.2
2010-02-23	0.1
2010-02-24	-0.6
2010-02-25	4.4
2010-02-26	5.7
2010-02-27	5.8
2010-02-28	5.1
2010-03-01	2.9
2010-03-02	2.9
2010-03-03	2.3
2010-03-04	-0.1
2010-03-05	-1.1
2010-03-06	-3.0
2010-03-07	-4.7
2010-03-08	-1.3
2010-03-09	-3.9
2010-03-10	-2.6
2010-03-11	0.3
2010-03-12	3.6
2010-03-13	4.2
2010-03-14	3.8
2010-03-15	2.0
2010-03-16	2.5
2010-03-17	7.4
2010-03-18	9.8
2010-03-19	11.2
2010-03-20	12.4
2010-03-21	8.6
2010-03-22	7.8
2010-03-23	8.1
2010-03-24	9.2
2010-03-25	13.6
2010-03-26	11.9
2010-03-27	7.8
2010-03-28	6.8
2010-03-29	7.4
2010-03-30	10.0
2010-03-31	9.2
2010-04-01	5.4
2010-04-02	7.7
2010-04-03	8.9
2010-04-04	9.4
2010-04-05	7.0
2010-04-06	10.2
2010-04-07	12.0
2010-04-08	8.9
2010-04-09	8.7
2010-04-10	8.5
2010-04-11	6.1
2010-04-12	5.6
2010-04-13	7.1
2010-04-14	6.9
2010-04-15	8.2
2010-04-16	7.9
2010-04-17	8.1
2010-04-18	10.0
2010-04-19	6.0
2010-04-20	5.5
2010-04-21	5.3
2010-04-22	5.9
2010-04-23	6.3
2010-04-24	9.6
2010-04-25	14.5
2010-04-26	11.8
2010-04-27	11.4
2010-04-28	13.3
2010-04-29	18.1
2010-04-30	13.4
2010-05-01	10.2
2010-05-02	8.5
2010-05-03	6.8
2010-05-04	6.7
2010-05-05	6.9
2010-05-06	6.5
2010-05-07	6.8
2010-05-08	7.6
2010-05-09	8.1
2010-05-10	6.2
2010-05-11	7.5
2010-05-12	7.9
2010-05-13	8.4
2010-05-14	9.1
2010-05-15	9.2
2010-05-16	10.4
2010-05-17	10.3
2010-05-18	9.0
2010-05-19	12.3
2010-05-20	13.3
2010-05-21	12.4
2010-05-22	13.6
2010-05-23	14.5
2010-05-24	12.5
2010-05-25	9.9
2010-05-26	10.0
2010-05-27	12.0
2010-05-28	12.2
2010-05-29	13.0
2010-05-30	13.4
2010-05-31	12.5
2010-06-01	13.9
2010-06-02	15.3
2010-06-03	15.8
2010-06-04	14.1
2010-06-05	14.2
2010-06-06	18.1
2010-06-07	14.5
2010-06-08	16.9
2010-06-09	19.0
2010-06-10	18.1
2010-06-11	17.8
2010-06-12	13.9
2010-06-13	12.4
2010-06-14	13.7
2010-06-15	12.5
2010-06-16	14.7
2010-06-17	16.4
2010-06-18	12.2
2010-06-19	10.6
2010-06-20	12.3
2010-06-21	13.1
2010-06-22	14.5
2010-06-23	15.9
2010-06-24	18.3
2010-06-25	16.7
2010-06-26	15.6
2010-06-27	18.6
2010-06-28	21.8
2010-06-29	21.9
2010-06-30	18.2
2010-07-01	20.4
2010-07-02	26.6
2010-07-03	27.5
2010-07-04	21.9
2010-07-05	19.3
2010-07-06	15.7
2010-07-07	18.2
2010-07-08	23.8
2010-07-09	25.3
2010-07-10	28.0
2010-07-11	25.3
2010-07-12	25.6
2010-07-13	22.4
2010-07-14	26.4
2010-07-15	21.7
2010-07-16	24.0
2010-07-17	19.5
2010-07-18	17.8
2010-07-19	21.4
2010-07-20	23.7
2010-07-21	25.2
2010-07-22	21.0
2010-07-23	18.4
2010-07-24	16.6
2010-07-25	16.4
2010-07-26	16.4
2010-07-27	17.9
2010-07-28	17.0
2010-07-29	16.9
2010-07-30	16.1
2010-07-31	18.7
2010-08-01	20.8
2010-08-02	18.2
2010-08-03	17.0
2010-08-04	17.8
2010-08-05	16.6
2010-08-06	17.7
2010-08-07	19.3
2010-08-08	19.1
2010-08-09	16.8
2010-08-10	20.8
2010-08-11	18.3
2010-08-12	17.2
2010-08-13	18.5
2010-08-14	17.8
2010-08-15	18.8
2010-08-16	17.6
2010-08-17	17.5
2010-08-18	16.8
2010-08-19	15.8
2010-08-20	18.9
2010-08-21	21.1
2010-08-22	20.4
2010-08-23	18.8
2010-08-24	16.7
2010-08-25	15.3
2010-08-26	14.6
2010-08-27	13.3
2010-08-28	12.8
2010-08-29	12.9
2010-08-30	12.7
2010-08-31	13.3
2010-09-01	14.7
2010-09-02	14.9
2010-09-03	12.5
2010-09-04	13.0
2010-09-05	12.9
2010-09-06	12.6
2010-09-07	13.4
2010-09-08	15.4
2010-09-09	13.7
2010-09-10	15.4
2010-09-11	17.3
2010-09-12	16.6
2010-09-13	14.8
2010-09-14	15.0
2010-09-15	13.7
2010-09-16	11.8
2010-09-17	11.7
2010-09-18	10.5
2010-09-19	11.7
2010-09-20	13.4
2010-09-21	13.0
2010-09-22	13.2
2010-09-23	16.7
2010-09-24	15.6
2010-09-25	12.5
2010-09-26	11.7
2010-09-27	13.5
2010-09-28	10.4
2010-09-29	8.0
2010-09-30	8.4
2010-10-01	9.4
2010-10-02	10.5
2010-10-03	14.1
2010-10-04	13.7
2010-10-05	14.3
2010-10-06	15.5
2010-10-07	15.0
2010-10-08	13.3
2010-10-09	12.1
2010-10-10	8.7
2010-10-11	7.5
2010-10-12	6.5
2010-10-13	8.3
2010-10-14	9.6
2010-10-15	10.0
2010-10-16	6.5
2010-10-17	5.6
2010-10-18	5.5
2010-10-19	8.5
2010-10-20	6.8
2010-10-21	5.8
2010-10-22	8.6
2010-10-23	7.8
2010-10-24	7.4
2010-10-25	5.9
2010-10-26	6.4
2010-10-27	8.1
2010-10-28	9.7
2010-10-29	10.6
2010-10-30	12.0
2010-10-31	8.9
2010-11-01	9.5
2010-11-02	9.7
2010-11-03	11.5
2010-11-04	12.4
2010-11-05	12.7
2010-11-06	7.5
2010-11-07	1.9
2010-11-08	1.7
2010-11-09	4.4
2010-11-10	4.6
2010-11-11	4.7
2010-11-12	9.5
2010-11-13	9.4
2010-11-14	11.2
2010-11-15	7.8
2010-11-16	5.5
2010-11-17	5.6
2010-11-18	5.5
2010-11-19	5.8
2010-11-20	6.0
2010-11-21	5.7
2010-11-22	5.3
2010-11-23	2.2
2010-11-24	-0.1
2010-11-25	-2.3
2010-11-26	-1.4
2010-11-27	-4.3
2010-11-28	-4.6
2010-11-29	-0.8
2010-11-30	-3.1
2010-12-01	-6.9
2010-12-02	-4.5
2010-12-03	-3.5
2010-12-04	-3.1
2010-12-05	1.1
2010-12-06	0.6
2010-12-07	-2.2
2010-12-08	-3.2
2010-12-09	-0.4
2010-12-10	-1.2
2010-12-11	5.9
2010-12-12	0.2
2010-12-13	-3.5
2010-12-14	-3.4
2010-12-15	-5.5
2010-12-16	-2.6
2010-12-17	-4.7
2010-12-18	-5.4
2010-12-19	-8.8
2010-12-20	-5.6
2010-12-21	-6.7
2010-12-22	-4.1
2010-12-23	-0.9
2010-12-24	-2.5
2010-12-25	-8.2
2010-12-26	-5.5
2010-12-27	-3.1
2010-12-28	-6.6
2010-12-29	-7.9
2010-12-30	-6.4
2010-12-31	2.2
2011-01-01	2.7
2011-01-02	0.9
2011-01-03	-0.8
2011-01-04	0.8
2011-01-05	-2.3
2011-01-06	1.6
2011-01-07	2.2
2011-01-08	7.8
2011-01-09	4.1
2011-01-10	1.6
2011-01-11	0.3
2011-01-12	3.4
2011-01-13	5.5
2011-01-14	9.6
2011-01-15	8.1
2011-01-16	9.3
2011-01-17	8.3
2011-01-18	5.1
2011-01-19	3.2
2011-01-20	-0.1
2011-01-21	-0.5
2011-01-22	1.1
2011-01-23	1.6
2011-01-24	2.5
2011-01-25	3.4
2011-01-26	0.6
2011-01-27	-2.6
2011-01-28	-3.6
2011-01-29	-4.8
2011-01-30	-1.8
2011-01-31	-1.7
2011-02-01	-2.2
2011-02-02	1.8
2011-02-03	4.4
2011-02-04	7.3
2011-02-05	8.9
2011-02-06	8.5
2011-02-07	8.6
2011-02-08	5.8
2011-02-09	4.0
2011-02-10	5.1
2011-02-11	4.1
2011-02-12	-0.3
2011-02-13	-0.2
2011-02-14	0.5
2011-02-15	-1.1
2011-02-16	0.6
2011-02-17	-0.8
2011-02-18	-0.5
2011-02-19	-1.1
2011-02-20	-3.0
2011-02-21	-4.8
2011-02-22	-6.0
2011-02-23	-4.9
2011-02-24	-1.3
2011-02-25	0.5
2011-02-26	2.6
2011-02-27	0.5
2011-02-28	1.4
2011-03-01	0.0
2011-03-02	-1.0
2011-03-03	-1.5
2011-03-04	-2.6
2011-03-05	3.1
2011-03-06	-0.1
2011-03-07	0.5
2011-03-08	2.9
2011-03-09	4.4
2011-03-10	5.7
2011-03-11	5.4
2011-03-12	6.8
2011-03-13	10.3
2011-03-14	9.6
2011-03-15	4.4
2011-03-16	2.4
2011-03-17	2.7
2011-03-18	3.8
2011-03-19	3.5
2011-03-20	4.8
2011-03-21	6.9
2011-03-22	9.0
2011-03-23	6.5
2011-03-24	8.6
2011-03-25	7.2
2011-03-26	3.5
2011-03-27	3.1
2011-03-28	3.5
2011-03-29	4.4
2011-03-30	8.1
2011-03-31	11.1
2011-04-01	11.9
2011-04-02	16.0
2011-04-03	11.7
2011-04-04	9.0
2011-04-05	9.2
2011-04-06	12.2
2011-04-07	11.0
2011-04-08	8.8
2011-04-09	8.7
2011-04-10	8.7
2011-04-11	12.2
2011-04-12	8.1
2011-04-13	7.9
2011-04-14	6.9
2011-04-15	8.3
2011-04-16	9.9
2011-04-17	11.6
2011-04-18	11.3
2011-04-19	14.4
2011-04-20	15.5
2011-04-21	15.6
2011-04-22	15.6
2011-04-23	16.5
2011-04-24	14.8
2011-04-25	13.6
2011-04-26	14.3
2011-04-27	14.1
2011-04-28	11.7
2011-04-29	12.2
2011-04-30	11.1
2011-05-01	9.2
2011-05-02	6.4
2011-05-03	6.3
2011-05-04	7.3
2011-05-05	8.9
2011-05-06	14.8
2011-05-07	18.1
2011-05-08	17.6
2011-05-09	19.7
2011-05-10	18.8
2011-05-11	15.3
2011-05-12	13.5
2011-05-13	12.0
2011-05-14	11.2
2011-05-15	10.7
2011-05-16	10.8
2011-05-17	13.1
2011-05-18	15.7
2011-05-19	14.1
2011-05-20	13.6
2011-05-21	16.3
2011-05-22	17.1
2011-05-23	16.0
2011-05-24	13.0
2011-05-25	13.0
2011-05-26	16.5
2011-05-27	13.0
2011-05-28	12.7
2011-05-29	14.6
2011-05-30	21.3
2011-05-31	15.9
2011-06-01	13.2
2011-06-02	14.9
2011-06-03	18.9
2011-06-04	19.3
2011-06-05	21.7
2011-06-06	21.9
2011-06-07	16.9
2011-06-08	15.1
