Serbien	1					6.16	4.34	5.29	6.65	6.29	6.27	6.44
Tadschikistan	1					2.09	0.43	0.35	0.34	0.3	0.49	0.55
Turkmenistan	1					12.12	7.9	8.12	10.12	11.19	12.42	12.18
Ukraine	1					13.27	7.68	6	6.16	5.81	4.16	4.39
Usbekistan	1					5.6	4.15	4.62	4.1	3.42	2.83	2.68
Weißrussland	1					9.8	5.59	5.22	5.69	6.27	5.55	5.59
Zypern	1	2.83	3.28	5.09	5.14	6.79	7.83	9.14	9.62	8.87	6.97	7.39
Ehem. Sowjetunion	1	7.98	9.82	11.12	11.15							
Ehem. Jugoslawien	1	3.09	3.54	3.87	5.28							
Nicht-OECD-Staaten Europa und Eurasien	0	7.41	9.05	10.28	10.37	11.5	7.67	7	7.36	7.54	7	6.94
Ägypten	1	0.56	0.65	0.92	1.28	1.36	1.28	1.43	1.88	2.1	2.13	2.14
Äthiopien	1	0.05	0.04	0.04	0.03	0.05	0.04	0.05	0.06	0.07	0.1	0.11
Algerien	1	0.58	0.81	1.43	1.86	1.98	1.92	1.97	2.33	2.65	3.27	3.14
Angola	1	0.23	0.26	0.3	0.27	0.32	0.27	0.28	0.31	0.65	0.71	0.68
Benin	1	0.1	0.14	0.11	0.11	0.05	0.04	0.21	0.34	0.5	0.5	0.52
Botswana	1				1.26	2.04	2.03	2.33	2.31	1.62	3.2	3.09
Demokratische Republik Kongo	1	0.13	0.11	0.12	0.11	0.09	0.03	0.02	0.02	0.03	0.04	0.03
Elfenbeinküste	1	0.44	0.46	0.41	0.3	0.22	0.22	0.38	0.32	0.31	0.42	0.44
Eritrea	1						0.25	0.18	0.15	0.11	0.12	0.12
Gabun	1	0.79	1.17	1.77	2.03	0.96	1.21	1.19	1.24	1.62	1.68	1.69
Ghana	1	0.22	0.24	0.2	0.17	0.17	0.19	0.26	0.3	0.43	0.51	0.45
Kamerun	1	0.11	0.14	0.19	0.24	0.23	0.18	0.18	0.17	0.25	0.26	0.26
Kenia	1	0.28	0.26	0.27	0.23	0.24	0.21	0.25	0.21	0.27	0.3	0.32
Republik Kongo	1	0.41	0.38	0.38	0.36	0.26	0.19	0.15	0.23	0.42	0.54	0.52
Libyen	1	1.67	3.28	5.46	5.48	5.83	6.66	6.86	7.42	7.79	6.73	6.88
Mauritius	1	0.31	0.47	0.59	0.6	1.1	1.38	2.05	2.41	2.93	3.14	3.2
Marokko	1	0.4	0.54	0.68	0.72	0.79	0.96	1.02	1.29	1.43	1.59	1.57
Mosambik	1	0.31	0.23	0.2	0.12	0.08	0.07	0.07	0.07	0.1	0.18	0.25
Namibia	1						1.08	1	1.23	1.41	1.57	1.64
Niger	1							0.06	0.05	0.08	0.1	0.09
Nigeria	1	0.1	0.17	0.35	0.38	0.3	0.3	0.36	0.41	0.35	0.46	0.46
Sambia	1	0.78	0.87	0.56	0.39	0.32	0.22	0.16	0.18	0.12	0.21	0.22
Senegal	1	0.28	0.33	0.37	0.33	0.28	0.28	0.36	0.41	0.42	0.5	0.53
Simbabwe	1	1.35	1.17	1.11	1.12	1.6	1.33	1.09	0.79	0.66	0.75	0.64
Südafrika	1	6.8	7.9	7.17	6.76	6.63	6.27	6.25	7.82	7.98	7.46	7.41
Südsudan	1										0.17	0.14
Sudan	1	0.22	0.2	0.19	0.18	0.2	0.15	0.16	0.25	0.34	0.4	0.48
Tansania	1	0.1	0.09	0.08	0.07	0.07	0.08	0.08	0.13	0.13	0.22	0.19
Togo	1	0.16	0.13	0.14	0.09	0.15	0.14	0.19	0.17	0.32	0.25	0.26
Tunesien	1	0.72	0.86	1.24	1.32	1.48	1.54	1.82	1.93	2.19	2.27	2.21
Andere Staaten in Afrika	0	0.12	0.13	0.15	0.11	0.11	0.11	0.12	0.12	0.14	0.15	0.15
Afrika	0	0.67	0.78	0.83	0.85	0.84	0.8	0.81	0.93	0.95	0.96	0.95
Bangladesch	1	0.04	0.06	0.08	0.08	0.11	0.14	0.16	0.22	0.33	0.44	0.45
Brunei Darussalam	1	2.93	8.69	13.6	13.09	12.59	15.16	13.29	13.21	17.64	14.3	14.94
Indien	1	0.32	0.35	0.38	0.48	0.61	0.73	0.84	0.94	1.28	1.55	1.57
Indonesien	1	0.21	0.29	0.46	0.51	0.74	1.04	1.21	1.41	1.49	1.76	1.74
Kambodscha	1						0.14	0.16	0.2	0.32	0.52	0.59
Malaysia	1	1.16	1.33	1.72	2.11	2.75	3.88	4.96	6.07	6.75	7.18	6.93
Mongolei	1				6.12	5.88	4.45	3.74	4.35	5.21	5.74	5.93
Myanmar	1	0.17	0.13	0.15	0.15	0.1	0.16	0.2	0.22	0.16	0.36	0.4
Nepal	1	0.02	0.02	0.04	0.03	0.05	0.08	0.13	0.12	0.15	0.2	0.29
Nordkorea	1	4.67	4.83	6.19	6.86	5.76	3.5	3.05	3.15	2	0.89	1
Pakistan	1	0.27	0.3	0.31	0.4	0.52	0.65	0.68	0.75	0.76	0.8	0.79
Philippinen	1	0.65	0.71	0.69	0.54	0.61	0.82	0.87	0.83	0.82	1.02	1.11
Singapur	1	2.87	3.73	5.24	6.07	9.51	10.66	10.46	8.88	8.72	7.98	8.07
Sri Lanka	1	0.22	0.2	0.25	0.22	0.22	0.3	0.56	0.69	0.62	0.93	0.99
Taiwan	1	2	2.53	4.01	3.59	5.49	7.28	9.77	11.19	11.05	10.71	10.98
Thailand	1	0.43	0.5	0.71	0.81	1.43	2.35	2.42	3.06	3.32	3.61	3.55
Vietnam	1	0.37	0.35	0.28	0.3	0.26	0.38	0.57	0.96	1.45	1.84	2.02
Andere Staaten in Asien	0	0.38	0.42	0.54	0.34	0.31	0.3	0.32	0.37	0.47	0.68	0.93
Asien (ohne China)	0	0.4	0.44	0.53	0.6	0.74	0.9	1.02	1.16	1.38	1.59	1.61
China	1	0.93	1.12	1.39	1.55	1.84	2.41	2.46	4.15	5.83	6.64	6.57
Hongkong	1	2.28	2.44	2.89	4.09	5.84	5.93	6.05	6.07	5.98	6.01	6.09
China inkl. Hongkong	1	0.93	1.13	1.4	1.56	1.86	2.43	2.47	4.16	5.83	6.64	6.57
Argentinien	1	3.39	3.27	3.39	2.89	3.04	3.35	3.76	3.82	4.22	4.39	4.35
Bolivien	1	0.47	0.64	0.75	0.69	0.75	0.91	0.85	0.99	1.38	1.7	1.86
Brasilien	1	0.9	1.2	1.39	1.15	1.23	1.4	1.67	1.66	1.88	2.19	2.01
Costa Rica	1	0.67	0.83	0.9	0.71	0.84	1.27	1.15	1.28	1.46	1.44	1.54
Curaçao	1	90.15	60.33	50.15	24.58	14.1	13.23	26.77	27.16	19.11	29.59	25.92
Dominikanische Republik	1	0.75	1.01	1.09	0.96	1.03	1.42	2.06	1.88	1.92	2.04	2.1
Ecuador	1	0.56	0.85	1.31	1.29	1.3	1.46	1.44	1.74	2.15	2.28	2.14
El Salvador	1	0.35	0.46	0.35	0.33	0.4	0.82	0.88	1.04	0.95	1.02	1.07
Guatemala	1	0.39	0.47	0.58	0.39	0.35	0.56	0.74	0.81	0.7	0.93	0.98
Haiti	1	0.08	0.08	0.11	0.13	0.13	0.12	0.16	0.21	0.21	0.3	0.3
Honduras	1	0.4	0.42	0.46	0.39	0.44	0.63	0.69	0.97	0.92	1.03	1
Jamaika	1	2.91	3.67	3.03	2	2.99	3.32	3.69	3.75	2.46	2.44	2.51
Kolumbien	1	1.18	1.14	1.26	1.27	1.34	1.45	1.34	1.24	1.31	1.62	1.77
Kuba	1	2.35	2.56	3.1	3.19	3.22	2.06	2.45	2.22	2.6	2.34	2.03
Nicaragua	1	0.6	0.66	0.56	0.49	0.44	0.55	0.71	0.75	0.75	0.84	0.86
Panama	1	1.59	1.78	1.47	1.2	1.04	1.49	1.61	2.03	2.43	2.69	2.52
Paraguay	1	0.23	0.25	0.42	0.39	0.46	0.73	0.62	0.6	0.75	0.86	0.95
Peru	1	1.12	1.2	1.18	0.92	0.88	0.97	1.02	1.04	1.4	1.56	1.62
Suriname	1							3.08	3.31	3.22	3.74	3.42
Trinidad und Tobago	1	5.62	4.53	5.87	5.68	6.47	6.51	7.97	13.53	16.83	15.92	15.47
Uruguay	1	1.81	1.89	1.83	1	1.16	1.36	1.53	1.55	1.77	1.86	1.84
Venezuela	1	3.85	4.2	5.43	4.86	4.71	4.78	4.75	5.14	5.91	4.51	4.03
Andere Nicht-OECD-Staaten Amerika	0	3.13	4.03	3.66	3.17	4.09	4.13	4.77	4.73	5.22	5.83	5.87
Nicht-OECD-Staaten Amerika	0	1.48	1.63	1.81	1.55	1.61	1.74	1.93	1.98	2.22	2.35	2.25
Bahrain	1	13.15	19.59	20.11	21.72	21.53	23.86	23.82	23.13	20.59	21.92	20.8
Irak	1	1.01	1.33	1.92	2.44	3	4.71	2.99	2.71	3.38	3.61	3.76
Iran	1	1.33	2.08	2.29	3.06	3.05	4.04	4.72	5.93	6.69	6.97	7.02
Jemen	1	0.19	0.26	0.43	0.49	0.52	0.62	0.75	0.92	0.95	0.42	0.33
Jordanien	1	0.75	1.04	1.82	2.58	2.58	2.67	2.79	3.14	2.62	2.6	2.52
Katar	1	18.83	30.05	31.17	28.8	26.12	32.81	35.91	38.4	31.17	31.28	30.77
Kuwait	1	17.53	14.74	19.27	21.13	13.24	20.08	22.58	28.44	25.69	23.01	22.25
Libanon	1	1.95	2.22	2.55	2.47	2.04	4.22	4.33	3.63	4.2	3.89	3.86
Oman	1	0.34	0.82	1.95	3.76	5.61	6.67	9	10.03	13.93	15.15	14.27
Saudi-Arabien	1	2.08	3.03	10.21	8.93	9.26	10.23	11.3	12.47	15.28	16.84	16.34
Syrien	1	0.83	1.1	1.38	1.84	2.19	2.17	2.26	2.92	2.69	1.39	1.42
Vereinigte Arabische Emirate	1	8.83	8.88	18.45	25.62	27.9	28.44	25.31	24.27	18.69	20.38	20.69
Mittlerer Osten	0	1.49	2.1	3.43	4.06	4.2	5.16	5.44	6.34	7.24	7.64	7.58
G7	0	13.37	13.23	13.51	12.67	12.99	12.93	13.59	13.29	12.11	11.02	10.82
G8	0					13.29	12.48	12.98	12.79	11.88	10.89	10.68
G20	0					4.59	4.55	4.66	5.15	5.52	5.59	5.52
